,Brand,Memory,Storage,Rating,Original Price,colour
195,OPPO,6,128,4.5,29990,grey
196,OPPO,6,128,4.5,29990,green
198,OPPO,6,128,4.4,23990,purple
199,OPPO,4,128,4.4,21990,purple
200,OPPO,8,128,4.3,21990,mint
202,OPPO,6,64,4.5,28990,black
203,OPPO,6,64,4.5,28990,green
204,OPPO,8,128,4.2,29999,blue
205,OPPO,8,128,4.3,21990,purple
206,OPPO,4,128,4.3,13489,white
207,OPPO,4,128,4.3,13489,silver
211,OPPO,6,128,4.4,23990,white
212,OPPO,4,64,4.4,22990,black
213,OPPO,4,64,4.4,22990,red
214,OPPO,4,64,4.4,22990,silver
215,OPPO,8,256,4.6,60990,blue
217,OPPO,6,128,4.5,27990,red
219,OPPO,8,256,4.4,39990,black
220,OPPO,6,128,4.5,27990,black
222,OPPO,8,128,3.7,38999,purple
224,OPPO,6,128,4.24309764309762,31990,blue
225,OPPO,8,128,4.4,22990,white
226,OPPO,6,128,4.5,41990,black
227,OPPO,4,128,4.4,21990,green
228,OPPO,12,256,4.4,45990,gold
231,OPPO,4,64,4.0,24900,gold
233,OPPO,6,128,4.5,29990,black
234,OPPO,4,64,4.3,18990,grey
235,OPPO,4,64,4.3,18990,gold
236,OPPO,4,64,4.3,18990,gold
237,OPPO,6,128,4.5,41990,green
238,OPPO,8,256,4.4,55990,black
239,OPPO,8,256,4.4,55990,green
241,OPPO,8,256,4.4,39990,blue
243,OPPO,6,128,4.5,27990,purple
244,HTC,6,128,4.7,56990,silver
246,HTC,4,128,3.9,16999,blue
247,HTC,4,128,3.9,17999,blue
249,IQOO,8,128,4.4,37990,silver
250,IQOO,8,128,4.4,37990,black
251,IQOO,8,256,4.4,40990,silver
252,IQOO,8,256,4.4,40990,black
253,IQOO,12,256,4.4,46990,black
254,Google Pixel,6,128,4.5,31999,black
255,Google Pixel,4,64,4.5,44999,white
256,Google Pixel,4,64,4.5,69999,black
257,Google Pixel,4,64,4.5,44999,black
258,Google Pixel,4,64,4.5,71000,white
259,Google Pixel,4,64,4.5,71000,pink
260,Google Pixel,4,128,4.5,80000,pink
261,Google Pixel,4,64,4.6,83000,pink
262,Google Pixel,4,64,4.6,83000,black
263,Google Pixel,4,128,4.6,92000,white
264,Google Pixel,4,128,4.5,80000,black
265,Google Pixel,4,128,4.5,80000,white
266,Google Pixel,4,128,4.6,92000,black
267,Google Pixel,4,64,4.6,83000,white
268,Google Pixel,4,64,4.5,39999,white
269,Google Pixel,4,128,4.5,76000,silver
270,Google Pixel,4,128,4.6,82000,black
271,Google Pixel,4,64,4.6,61000,black
272,Google Pixel,4,128,4.6,92000,pink
273,Google Pixel,4,128,4.6,70000,white
274,Google Pixel,4,128,4.4,66000,black
275,Google Pixel,4,32,4.4,57000,silver
276,Google Pixel,4,128,4.6,70000,black
277,Google Pixel,4,64,4.5,39999,black
279,LG,6,128,4.4,55000,silver
282,LG,4,64,4.0,9999,blue
283,LG,4,128,4.1,10999,blue
285,LG,6,128,4.4,55000,black
286,LG,4,64,4.0,9999,blue
287,LG,4,64,3.8,14999,purple
288,LG,4,64,3.8,14500,blue
292,LG,4,64,3.8,13998,purple
294,LG,4,64,4.0,10499,blue
295,LG,4,64,4.0,24000,black
298,LG,4,64,3.8,12950,blue
299,LG,6,128,4.4,55000,platinum
303,LG,4,64,3.8,12790,green
304,LG,4,64,4.2,29199,silver
305,LG,6,128,4.4,70000,black
306,LG,6,128,4.4,60000,grey
309,LG,4,64,4.4,50000,black
310,LG,4,64,4.4,50000,platinum
312,LG,4,32,4.0,52990,silver
313,LG,4,64,3.9,19990,platinum
315,LG,6,128,4.2,29999,silver
316,LG,4,128,3.8,18000,blue
317,LG,4,64,4.0,16000,blue
318,LG,8,128,4.2,80000,gray
319,LG,6,128,3.7,20000,blue
320,LG,6,128,4.4,55000,black
327,LG,4,128,4.3,29999,silver
328,LG,4,128,4.3,29999,black
332,LG,4,64,4.2,55000,black
335,LG,8,128,4.2,80000,sky
336,LG,4,64,4.1,30990,titan
337,LG,6,128,4.4,55000,blue
346,LG,4,64,3.9,19990,black
349,LG,6,128,4.24309764309762,29999,black
350,LG,4,64,3.9,19990,blue
